Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1197.05,471.25,338.55,63.1,2797.85,6333.95,0.7,20.6,439.7,4587.95,1.3,176.35,231.6,0.0,7.0,0.0,12.15,160.8,2.7,165.1,BUWo5_0
1080.1,588.95,247.85,79.15,2843.4,5525.5,1.0,10.8,242.45,3750.0,0.85,179.1,209.95,0.0,8.7,0.0,7.75,110.75,2.05,139.9,BUWo5_1
1254.9,793.4,256.2,60.2,2689.7,5723.7,0.1,18.3,78.8,3328.1,1.1,84.35,218.45,0.0,4.45,0.0,7.6,2.2,1.9,40.7,BUWo5_2
1079.5,358.75,250.75,58.6,2247.4,7537.45,0.45,25.2,148.25,3121.7,0.65,86.85,173.35,0.0,5.2,0.0,11.8,106.3,0.65,41.2,BUWo5_3
1278.65,802.75,266.1,76.2,2965.7,8943.6,0.6,29.65,84.7,2950.5,1.0,91.2,180.15,0.0,8.1,0.0,12.55,16.7,1.85,50.4,BUWo5_4
1144.95,650.75,268.0,112.65,2587.05,7700.8,0.4,18.25,103.05,2758.8,0.9,134.45,220.4,0.0,6.45,0.0,9.65,42.85,1.1,68.25,BUWo5_5
1130.0,445.75,191.4,58.75,2571.05,3416.7,0.1,17.85,47.2,2682.05,0.4,66.6,147.35,0.0,6.25,0.0,14.85,1.65,1.1,23.55,BUWo5_6
1264.35,478.1,272.65,141.55,2944.9,8779.4,1.6,50.5,132.85,2572.9,0.3,118.7,216.0,0.0,7.1,1.0,13.05,107.5,3.5,61.1,BUWo5_7
1217.4,818.4,233.65,87.7,2823.6,6407.05,0.1,32.8,78.35,2466.7,1.05,98.9,186.85,0.0,6.0,0.0,13.05,13.3,1.8,63.3,BUWo5_8
1042.65,774.3,211.5,102.2,2347.55,6345.0,0.05,31.05,77.65,2354.6,0.75,91.85,193.55,0.0,4.3,0.0,16.55,71.75,1.8,53.15,BUWo5_9
